,long,lat,elev,rt_num,class,intensity,geometry,cluster_label
79197,83178.563,439676.414,519,1,6,224,POINT (4.342692455752025 51.94089950637625),6
79198,83178.628,439676.758,518,1,6,209,POINT (4.342693329007472 51.94090260630533),6
79199,83178.703,439677.086,322,1,6,253,POINT (4.342694351015684 51.94090556373398),6
79228,83180.024,439684.211,1234,2,6,379,POINT (4.342712070303657 51.94096976684428),5
79229,83180.091,439684.528,1145,1,6,137,POINT (4.342712978286717 51.940972624382155),5
79230,83180.157,439684.877,1181,1,6,265,POINT (4.342713865040803 51.94097576937528),5
79231,83180.219,439685.202,1173,1,6,244,POINT (4.342714698647684 51.94097869816342),5
79232,83180.28,439685.515,1173,1,6,251,POINT (4.342715520221873 51.94098151897817),5
79233,83180.343,439685.84,1174,1,6,239,POINT (4.342716368369838 51.94098444789541),5
79234,83180.403,439686.209,1366,1,6,130,POINT (4.342717163699015 51.94098777185372),5
79235,83180.351,439687.081,5223,1,6,475,POINT (4.342716225319977 51.94099560181163),5
79236,83180.468,439686.578,1483,2,6,8,POINT (4.342718031732694 51.9409910964579),5
79237,83180.409,439687.4,5287,1,6,172,POINT (4.34271700201789 51.94099847616092),5
79238,83180.473,439687.763,5384,1,6,205,POINT (4.342717856764914 51.94100174671384),5
79239,83180.531,439688.087,5478,1,6,200,POINT (4.342718632418008 51.94100466599817),5
79240,83180.591,439688.427,5579,1,6,193,POINT (4.3427194338088695 51.941007729333066),5
79241,83180.647,439688.749,5688,1,6,181,POINT (4.342720180798413 51.94101063038502),5
79242,83180.711,439689.108,5767,1,6,207,POINT (4.3427210363819135 51.94101386498986),5
79243,83180.772,439689.462,5899,1,6,111,POINT (4.342721849387909 51.941017054272116),5
79244,83180.83,439689.803,6034,1,6,8,POINT (4.342722621488431 51.94102012633562),5
79245,83180.891,439690.154,6155,1,6,8,POINT (4.342723435121666 51.941023288656815),5
79246,83180.953,439690.486,6196,1,6,179,POINT (4.342724267266995 51.94102628035394),5
79247,83181.009,439690.804,6281,1,6,137,POINT (4.342725015093171 51.94102914545783),5
79248,83181.068,439691.143,6398,1,6,193,POINT (4.342725802153009 51.94103219967649),5
79249,83181.129,439691.49,6499,1,6,184,POINT (4.342726616622698 51.94103532604957),5
79250,83178.834,439676.396,537,1,6,236,POINT (4.342696400083594 51.94089937961761),6
79251,83178.895,439676.716,545,1,6,230,POINT (4.34269722019215 51.940902263341655),6
79252,83178.964,439677.006,301,1,6,248,POINT (4.342698162897883 51.94090487848867),6
79285,83180.357,439684.489,1187,1,6,126,POINT (4.342716854309432 51.94097230824971),5
79286,83180.422,439684.826,1176,1,6,195,POINT (4.342717729030986 51.9409753452695),5
79287,83180.486,439685.157,1170,1,6,217,POINT (4.34271859046582 51.940978328238),5
79288,83180.551,439685.496,1177,1,6,212,POINT (4.342719464769593 51.94098138323177),5
79289,83180.614,439685.826,1186,1,6,209,POINT (4.342720311872786 51.94098435708407),5
79290,83180.675,439686.142,1179,1,6,200,POINT (4.342721132820414 51.94098720485988),5
79292,83180.731,439686.498,1416,2,6,69,POINT (4.3427218727035575 51.94099041147024),5
79293,83180.671,439687.373,5421,1,6,174,POINT (4.3427208173712355 51.940998267355766),5
79294,83180.735,439687.739,5536,1,6,168,POINT (4.342721671491516 51.94100156486969),5
79295,83180.793,439688.054,5603,1,6,214,POINT (4.342722449025899 51.94100440327093),5
79296,83180.857,439688.424,5715,1,6,198,POINT (4.342723302310394 51.94100773673288),5
79297,83180.914,439688.747,5810,1,6,191,POINT (4.342724063632064 51.941010646901006),5
79298,83180.974,439689.083,5897,1,6,175,POINT (4.342724865859422 51.94101367428784),5
79299,83181.029,439689.409,6023,1,6,149,POINT (4.342725597472508 51.941016611158624),5
79300,83181.094,439689.768,6109,1,6,36,POINT (4.342726467597395 51.9410198458926),5
79301,83181.154,439690.12,6245,1,6,22,POINT (4.342727266481005 51.94102301707159),5
79302,83181.213,439690.458,6354,1,6,79,POINT (4.342728053749898 51.941026062303244),5
79303,83181.275,439690.8,6425,1,6,205,POINT (4.3427288838055444 51.941029143870416),5
79304,83181.335,439691.14,6531,1,6,223,POINT (4.342729685197532 51.94103220720523),5
79305,83181.391,439691.459,6619,1,6,184,POINT (4.342730432815144 51.94103508129609),5
79306,83179.083,439676.337,538,1,6,235,POINT (4.342700033085892 51.940898881549415),6
79307,83179.15,439676.672,504,1,6,222,POINT (4.342700937304623 51.94090190085363),6
79308,83179.224,439676.956,167,1,6,245,POINT (4.342701953968857 51.9409044627245),6
79339,83180.603,439684.434,1237,2,6,297,POINT (4.342720442858782 51.9409718457414),5
79340,83180.668,439684.741,1148,1,6,132,POINT (4.342721323850728 51.940974613150786),5
79341,83180.735,439685.097,1171,1,6,200,POINT (4.342722223683274 51.94097782118209),5
79342,83180.8,439685.434,1167,1,6,207,POINT (4.342723098405294 51.940980858201826),5
79343,83180.863,439685.764,1175,1,6,197,POINT (4.34272394550872 51.94098383205412),5
79344,83180.928,439686.1,1176,1,6,221,POINT (4.342724820439977 51.94098686008682),5
79345,83180.984,439686.459,1407,1,6,116,POINT (4.342725559696364 51.94099009365821),5
79346,83180.917,439687.332,5563,1,6,273,POINT (4.342724402996553 51.940997930665574),5
79347,83180.978,439687.672,5638,1,6,230,POINT (4.342725218928573 51.9410009941296),5
79348,83181.039,439688.017,5736,1,6,209,POINT (4.34272603381568 51.941004102528694),5
79349,83181.103,439688.387,5855,1,6,140,POINT (4.342726887100435 51.94100743599063),5
79350,83181.16,439688.702,5921,1,6,159,POINT (4.342727650094365 51.94101027426264),5
79351,83181.224,439689.067,6043,1,6,206,POINT (4.3427285044243735 51.94101356278949),5
79352,83181.28,439689.385,6137,1,6,200,POINT (4.342729252250613 51.94101642789334),5
79353,83181.338,439689.731,6285,1,6,102,POINT (4.342730023306613 51.94101954489188),5
79354,83181.393,439690.06,6432,1,6,76,POINT (4.342730754293119 51.94102250872369),5
79355,83181.46,439690.411,6441,1,6,156,POINT (4.342731655172295 51.94102567181985),5
79356,83181.521,439690.765,6560,1,6,165,POINT (4.342732468179252 51.94102886110202),5
79357,83181.581,439691.095,6634,1,6,195,POINT (4.342733271661511 51.94103183456669),5
